Время(нс),Операции
364292,3
2875,4
708,4
250,4
250,4
250,4
250,4
208,4
208,4
209,4
208,4
250,4
292,4
209,4
208,4
208,4
209,4
208,4
250,4
250,4
208,4
291,4
208,4
208,4
208,4
208,4
208,4
208,4
208,4
167,4
167,4
209,4
209,4
209,4
208,4
209,4
209,4
209,4
209,4
167,4
167,4
167,4
208,4
208,4
208,4
208,4
208,4
208,4
250,4
208,4
208,4
209,4
209,4
209,4
209,4
209,4
167,4
167,4
167,4
209,4
209,4
209,4
791,4
333,4
250,4
209,4
209,4
209,4
209,4
208,4
208,4
208,4
208,4
208,4
250,4
208,4
208,4
208,4
208,4
208,4
250,4
208,4
208,4
209,4
167,4
208,4
208,4
208,4
208,4
166,4
166,4
208,4
208,4
209,4
125,4
250,4
208,4
208,4
208,4
166,4
208,4
167,4
2375,4
167,4
208,4
208,4
167,4
209,4
208,4
166,4
208,4
209,4
209,4
167,4
208,4
208,4
166,4
208,4
209,4
167,4
166,4
208,4
208,4
209,4
209,4
208,4
291,4
1166,4
250,4
209,4
209,4
209,4
209,4
167,4
167,4
208,4
166,4
208,4
208,4
209,4
209,4
208,4
209,4
208,4
166,4
166,4
208,4
208,4
208,4
208,4
167,4
209,4
209,4
209,4
209,4
209,4
209,4
209,4
167,4
167,4
208,4
208,4
208,4
208,4
209,4
208,4
166,4
250,4
209,4
209,4
209,4
167,4
167,4
167,4
167,4
208,4
167,4
209,4
167,4
209,4
166,4
167,4
208,4
208,4
167,4
209,4
209,4
208,4
208,4
208,4
208,4
209,4
209,4
167,4
208,4
208,4
208,4
208,4
209,4
209,4
167,4
208,4
208,4
208,4
208,4
208,4
208,4
208,4
208,4
209,4
208,4
208,4
208,4
167,4
209,4
209,4
209,4
208,4
208,4
208,4
208,4
209,4
209,4
208,4
208,4
208,4
208,4
208,4
209,4
209,4
167,4
208,4
208,4
166,4
208,4
208,4
209,4
209,4
208,4
208,4
208,4
166,4
208,4
167,4
208,4
208,4
250,4
167,4
208,4
166,4
208,4
167,4
208,4
166,4
166,4
917,4
208,4
208,4
166,4
166,4
1833,4
208,4
208,4
208,4
208,4
208,4
209,4
209,4
167,4
208,4
208,4
208,4
208,4
209,4
209,4
209,4
208,4
208,4
208,4
208,4
209,4
209,4
208,4
166,4
208,4
167,4
167,4
208,4
208,4
167,4
209,4
167,4
208,4
208,4
208,4
209,4
209,4
208,4
208,4
208,4
208,4
209,4
167,4
208,4
166,4
208,4
209,4
209,4
209,4
208,4
208,4
208,4
209,4
209,4
208,4
208,4
167,4
167,4
208,4
208,4
209,4
208,4
208,4
209,4
208,4
166,4
208,4
209,4
209,4
167,4
208,4
208,4
209,4
167,4
208,4
167,4
208,4
208,4
208,4
209,4
167,4
208,4
166,4
208,4
209,4
2000,4
209,4
209,4
250,4
208,4
208,4
209,4
167,4
208,4
208,4
209,4
167,4
208,4
208,4
167,4
209,4
208,4
250,4
208,4
208,4
209,4
208,4
208,4
208,4
208,4
208,4
167,4
208,4
208,4
209,4
208,4
166,4
167,4
209,4
208,4
208,4
209,4
250,4
916,4
250,4
208,4
166,4
208,4
209,4
167,4
208,4
208,4
208,4
167,4
167,4
166,4
167,4
209,4
209,4
167,4
208,4
208,4
208,4
208,4
291,4
209,4
208,4
209,4
167,4
166,4
167,4
209,4
208,4
166,4
167,4
209,4
167,4
166,4
208,4
167,4
167,4
166,4
208,4
209,4
208,4
208,4
209,4
167,4
208,4
209,4
167,4
166,4
167,4
167,4
166,4
167,4
167,4
166,4
167,4
209,4
166,4
167,4
167,4
166,4
208,4
209,4
208,4
1667,4
167,4
167,4
166,4
167,4
209,4
208,4
208,4
209,4
208,4
208,4
167,4
167,4
208,4
208,4
209,4
209,4
208,4
208,4
167,4
208,4
166,4
167,4
167,4
166,4
167,4
167,4
166,4
167,4
167,4
6291,4
208,4
167,4
167,4
208,4
208,4
167,4
167,4
208,4
208,4
2084,4
541,4
250,4
250,4
208,4
208,4
208,4
208,4
208,4
208,4
166,4
208,4
208,4
208,4
208,4
167,4
209,4
209,4
250,4
209,4
208,4
375,4
250,4
209,4
13292,4
542,4
292,4
208,4
250,4
209,4
209,4
209,4
167,4
208,4
208,4
208,4
166,4
250,4
208,4
166,4
417,4
166,4
166,4
166,4
208,4
167,4
209,4
208,4
208,4
208,4
208,4
167,4
209,4
208,4
166,4
208,4
167,4
167,4
166,4
208,4
209,4
167,4
208,4
333,4
208,4
208,4
208,4
208,4
208,4
209,4
209,4
208,4
166,4
208,4
209,4
209,4
208,4
208,4
167,4
167,4
208,4
208,4
167,4
167,4
208,4
208,4
167,4
167,4
208,4
166,4
167,4
209,4
167,4
208,4
208,4
250,4
250,4
167,4
208,4
166,4
208,4
208,4
167,4
209,4
209,4
167,4
208,4
208,4
166,4
208,4
208,4
208,4
2292,4
208,4
208,4
208,4
209,4
209,4
167,4
208,4
208,4
208,4
208,4
209,4
250,4
250,4
208,4
167,4
209,4
209,4
209,4
208,4
208,4
208,4
208,4
208,4
167,4
209,4
208,4
208,4
208,4
167,4
209,4
167,4
208,4
166,4
208,4
209,4
209,4
208,4
208,4
208,4
1166,4
250,4
208,4
208,4
208,4
250,4
209,4
167,4
208,4
208,4
208,4
208,4
208,4
167,4
209,4
167,4
209,4
209,4
208,4
208,4
208,4
167,4
209,4
167,4
208,4
208,4
208,4
166,4
208,4
208,4
208,4
167,4
250,4
208,4
208,4
208,4
208,4
208,4
250,4
208,4
166,4
208,4
208,4
208,4
167,4
209,4
209,4
208,4
208,4
208,4
208,4
208,4
208,4
208,4
167,4
209,4
209,4
167,4
208,4
208,4
208,4
208,4
208,4
208,4
167,4
250,4
208,4
167,4
209,4
4834,4
250,4
167,4
125,4
125,4
167,4
166,4
125,4
125,4
125,4
125,4
125,4
125,4
84,4
125,4
166,4
125,4
125,4
125,4
125,4
83,4
125,4
166,4
125,4
125,4
125,4
125,4
83,4
125,4
83,4
125,4
125,4
125,4
167,4
208,4
167,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
167,4
125,4
125,4
125,4
167,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
417,4
167,4
125,4
125,4
125,4
125,4
125,4
125,4
166,4
125,4
125,4
125,4
125,4
125,4
125,4
83,4
125,4
125,4
125,4
125,4
167,4
167,4
208,4
167,4
125,4
83,4
125,4
125,4
125,4
125,4
125,4
166,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
83,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
250,4
166,4
125,4
250,4
167,4
166,4
125,4
125,4
84,4
125,4
167,4
166,4
167,4
167,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
83,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
167,4
125,4
83,4
125,4
125,4
125,4
125,4
125,4
125,4
84,4
125,4
125,4
125,4
83,4
125,4
125,4
125,4
125,4
417,4
125,4
125,4
167,4
125,4
83,4
125,4
125,4
125,4
125,4
125,4
125,4
167,4
167,4
125,4
83,4
125,4
125,4
125,4
166,4
125,4
125,4
125,4
125,4
125,4
83,4
125,4
125,4
125,4
125,4
125,4
125,4
125,4
