Время(нс),Операции
4258750,44382
687542,6113
541292,3087
1073250,7722
245583,2087
249042,2296
946167,8135
634250,5766
959209,8134
322416,3026
807583,7001
933959,8130
873500,7632
140209,1237
17666,133
312875,2848
554458,4985
233917,1813
417917,3645
573375,5161
137875,1228
226750,1961
1059958,7681
1146667,8089
284542,2145
904917,6712
983958,8075
916542,8075
158125,1472
549500,4979
435042,3878
1018167,8072
149959,1346
1029834,7015
294125,2651
454250,4806
49042,813
50625,1056
220250,4712
86208,1858
253250,5686
435041,8046
562125,8046
15583,276
127416,1501
231833,4384
81792,1728
346417,6691
192292,4669
47416,1153
355584,8007
7375,76
97209,2142
370917,7997
75209,1734
159084,3907
135833,3264
312542,7354
335000,7847
30125,751
55916,1536
165375,4240
294917,6882
202042,4940
79583,1994
350292,7954
321666,7954
44667,1148
320167,7951
310417,7951
46417,1261
137583,3532
249542,4571
98333,2639
83791,2138
402334,7911
146958,2110
222667,2935
144333,2384
25125,497
311750,6060
471750,7894
117042,2691
197792,4724
76875,1517
265334,5074
25416,471
248750,5637
434708,7716
66209,1547
425125,7715
235416,6062
166916,4054
424625,7660
395542,6253
110292,2124
103667,2193
278209,5566
153916,3329
393292,6945
97666,2641
118000,3045
356291,6940
9875,219
31041,547
2923292,6938
259875,5123
70084,1573
340292,6248
348542,6919
111791,2811
264083,6918
329125,6918
399541,6918
233541,6918
101583,4170
47916,1758
24209,915
102750,4017
28209,1228
190042,6889
99875,4784
90250,3586
45042,1908
48084,1919
85583,1702
79250,2943
50750,1991
10291,291
157625,5295
106375,3877
242542,6548
204583,6463
86875,3164
100250,4518
388459,6193
55500,2452
201875,6531
28125,1223
177167,6530
172125,6530
13125,393
118250,4487
178333,6515
383917,6515
187375,6515
115666,5208
60750,2562
30250,1340
11625,172
25917,534
225042,6465
118917,4370
167500,6458
315208,6458
125375,3594
200542,6448
247916,4405
407583,6200
29125,717
27125,825
292292,6444
249208,6444
394833,6444
302333,6444
223667,6444
178542,6444
171334,6444
164666,6444
35416,1365
149542,4016
121500,5568
31666,1508
110000,5303
111416,4464
80166,3228
18500,751
7333,229
109791,5414
25791,1120
104917,5185
99000,4513
48959,2255
44791,2095
338375,6376
209541,6376
187333,6376
14875,674
169958,6373
102917,4870
22250,955
169417,6371
257500,6371
121750,5895
169458,6357
154500,6357
156458,6357
116500,6120
