Время(нс),Операции
1467042,1699
128875,243
1178834,3678
1392041,5134
2687916,9973
1235959,4399
2030875,8067
1625583,8083
737584,3847
693542,3327
755833,3996
771750,4337
1216875,5964
700916,3526
1359000,6651
1487125,7123
1396250,7033
507750,6935
225834,6071
335625,7486
9625,261
341209,8347
293917,6465
130958,3278
35708,1357
402625,9025
447958,6757
453750,8800
423791,9492
32584,991
199417,5530
128292,3967
156042,4268
550792,8054
549250,8216
196666,2169
547375,6167
467500,6784
5917,134
526875,9046
699333,8866
151833,1940
630042,9169
48916,1532
210292,3753
35500,1326
168458,5045
456166,9601
531208,9816
383500,8684
74167,2833
300875,7749
230917,4044
174583,3315
32500,1174
408167,9041
452958,8125
448375,8349
4292,177
168250,3867
318791,6398
65166,2280
129250,3317
366750,6935
433625,8653
383875,9636
345125,6205
168708,3953
366084,9738
32625,1192
142125,4572
165208,4111
490250,9980
258875,4927
10750,177
212084,4375
36792,900
406750,8708
208458,5410
365875,6777
179791,5333
29167,850
528000,8512
370917,6912
355417,8264
151125,3349
161625,4333
34000,1471
35000,1436
161209,4564
167666,3858
185250,3834
193333,6098
126500,5799
100834,5298
509250,8571
24834,1124
259375,8987
277542,9892
102875,4977
